method,image,iou
Our approach,C_1_14_18_bot.png,0.618425
Our approach,C_1_14_18_bot.png,0.346166
Our approach,C_1_14_18_bot.png,0.371587
Our approach,C_1_14_18_bot.png,0.327218
Our approach,C_1_14_18_bot.png,0.333606
Our approach,C_1_14_18_bot.png,0.655545
Our approach,C_1_14_18_bot.png,0.663830
Authors' method,C_1_14_18_bot.png,0.640680
Authors' method,C_1_21_27_bot.png,0.700736
Authors' method,C_1_29_24_bot.png,0.656179
Authors' method,C_1_4_19_bot.png,0.641440
Authors' method,C_1_7_2_bot.png,0.657880
Authors' method,C_1_8_12_bot.png,0.723773
Authors' method,C_1_8_1_bot.png,0.624142
Authors' method,C_2_26_51_bot.png,0.743569
Authors' method,C_1_14_18_bot.png,0.625674
Authors' method,C_1_21_27_bot.png,0.771504
Authors' method,C_1_29_24_bot.png,0.666812
Authors' method,C_1_4_19_bot.png,0.628857
Authors' method,C_1_7_2_bot.png,0.684111
Authors' method,C_1_8_12_bot.png,0.793063
Authors' method,C_1_8_1_bot.png,0.664313
Authors' method,C_2_26_51_bot.png,0.759323
Authors' method,C_1_14_18_bot.png,0.649582
Authors' method,C_1_21_27_bot.png,0.759129
Authors' method,C_1_29_24_bot.png,0.666610
Authors' method,C_1_4_19_bot.png,0.651536
Authors' method,C_1_7_2_bot.png,0.678844
Authors' method,C_1_8_12_bot.png,0.782037
Authors' method,C_1_8_1_bot.png,0.632999
Authors' method,C_2_26_51_bot.png,0.758136
Authors' method,C_1_14_18_bot.png,0.652658
Authors' method,C_1_21_27_bot.png,0.742658
Authors' method,C_1_29_24_bot.png,0.665704
Authors' method,C_1_4_19_bot.png,0.633881
Authors' method,C_1_7_2_bot.png,0.671898
Authors' method,C_1_8_12_bot.png,0.775030
Authors' method,C_1_8_1_bot.png,0.662839
Authors' method,C_2_26_51_bot.png,0.764207
Authors' method,C_1_14_18_bot.png,0.643939
Authors' method,C_1_21_27_bot.png,0.697562
Authors' method,C_1_29_24_bot.png,0.677902
Authors' method,C_1_4_19_bot.png,0.616388
Authors' method,C_1_7_2_bot.png,0.664485
Authors' method,C_1_8_12_bot.png,0.722212
Authors' method,C_1_8_1_bot.png,0.651982
Authors' method,C_2_26_51_bot.png,0.753473
Authors' method,C_1_14_18_bot.png,0.615583
Authors' method,C_1_21_27_bot.png,0.708939
Authors' method,C_1_29_24_bot.png,0.662478
Authors' method,C_1_4_19_bot.png,0.630716
Authors' method,C_1_7_2_bot.png,0.658417
Authors' method,C_1_8_12_bot.png,0.708951
Authors' method,C_1_8_1_bot.png,0.651237
Authors' method,C_2_26_51_bot.png,0.748586
